station_id,fecha,lat,lon,PM2.5,PM10,O3,NO2,CO
EST_001,01/01/2023 00:00,16.8732,-88.2975,24.4,47.5,36.74,15.75,0.418
EST_001,01/01/2023 01:00,16.8732,-88.2975,24.23,44.09,50.28,14.88,0.552
EST_001,01/01/2023 02:00,16.8732,-88.2975,,,,19.57,0.531
EST_001,01/01/2023 03:00,16.8732,-88.2975,,,50.19,16.26,0.522
EST_001,01/01/2023 04:00,16.8732,-88.2975,27.35,51.46,71.99,25.68,0.584
EST_001,01/01/2023 05:00,16.8732,-88.2975,23.13,42.9,58.18,26.19,0.601
EST_001,01/01/2023 06:00,16.8732,-88.2975,31.87,63.58,83.0,,0.898
EST_001,01/01/2023 07:00,16.8732,-88.2975,27.82,56.53,60.23,32.61,0.886
EST_001,01/01/2023 08:00,16.8732,-88.2975,39.42,58.0,75.17,35.02,0.864
EST_001,01/01/2023 09:00,16.8732,-88.2975,36.85,48.36,57.72,31.79,1.093
EST_001,01/01/2023 10:00,16.8732,-88.2975,37.77,76.0,59.63,45.53,1.004
EST_001,01/01/2023 11:00,16.8732,-88.2975,36.29,74.83,37.93,36.9,
EST_001,01/01/2023 12:00,16.8732,-88.2975,46.16,74.92,31.46,26.69,1.202
EST_001,01/01/2023 13:00,16.8732,-88.2975,38.93,55.2,39.42,30.72,1.036
EST_001,01/01/2023 14:00,16.8732,-88.2975,36.57,,39.89,26.23,1.019
EST_001,01/01/2023 15:00,16.8732,-88.2975,35.36,71.1,26.26,33.74,1.016
EST_001,01/01/2023 16:00,16.8732,-88.2975,37.72,82.27,9.82,31.39,1.064
EST_001,01/01/2023 17:00,16.8732,-88.2975,34.48,66.19,7.08,27.73,0.88
EST_001,01/01/2023 18:00,16.8732,-88.2975,32.13,54.86,5.73,38.05,0.68
EST_001,01/01/2023 19:00,16.8732,-88.2975,29.63,46.2,3.01,28.67,0.777
EST_001,01/01/2023 20:00,16.8732,-88.2975,35.78,64.5,,27.63,0.602
EST_001,01/01/2023 21:00,16.8732,-88.2975,20.97,35.36,37.11,17.69,0.777
EST_001,01/01/2023 22:00,16.8732,-88.2975,18.86,25.82,29.87,16.08,0.54
EST_001,01/01/2023 23:00,16.8732,-88.2975,16.35,45.83,12.22,20.46,0.287
EST_001,02/01/2023 00:00,16.8732,-88.2975,23.17,55.98,38.09,20.87,0.536
EST_001,02/01/2023 01:00,16.8732,-88.2975,26.08,,43.55,10.99,
EST_001,02/01/2023 02:00,16.8732,-88.2975,20.86,30.19,70.96,20.17,0.698
EST_001,02/01/2023 03:00,16.8732,-88.2975,18.82,40.73,39.57,22.41,0.771
EST_001,02/01/2023 04:00,16.8732,-88.2975,20.98,42.88,53.41,22.92,0.548
EST_001,02/01/2023 05:00,16.8732,-88.2975,30.77,58.92,76.38,21.86,0.814
EST_001,02/01/2023 06:00,16.8732,-88.2975,33.82,70.88,64.5,,0.728
EST_001,02/01/2023 07:00,16.8732,-88.2975,35.42,68.83,64.95,29.19,0.9
EST_001,02/01/2023 08:00,16.8732,-88.2975,31.79,63.14,58.47,32.45,0.823
EST_001,02/01/2023 09:00,16.8732,-88.2975,38.35,74.13,57.44,36.68,0.948
EST_001,02/01/2023 10:00,16.8732,-88.2975,39.37,,57.78,40.33,
EST_001,02/01/2023 11:00,16.8732,-88.2975,40.88,59.31,37.08,34.26,1.18
EST_001,02/01/2023 12:00,16.8732,-88.2975,44.49,80.74,48.78,33.72,1.18
EST_001,02/01/2023 13:00,16.8732,-88.2975,40.91,69.19,21.09,37.92,1.117
EST_001,02/01/2023 14:00,16.8732,-88.2975,42.19,65.71,,37.98,0.925
EST_001,02/01/2023 15:00,16.8732,-88.2975,37.55,81.04,27.65,,0.981
EST_001,02/01/2023 16:00,16.8732,-88.2975,36.59,79.69,,35.95,0.875
EST_001,02/01/2023 17:00,16.8732,-88.2975,35.89,75.48,20.45,34.97,0.965
EST_001,02/01/2023 18:00,16.8732,-88.2975,22.86,43.2,,34.46,0.918
EST_001,02/01/2023 19:00,16.8732,-88.2975,25.97,,9.96,34.82,0.828
EST_001,02/01/2023 20:00,16.8732,-88.2975,22.81,41.15,19.14,19.67,0.574
EST_001,02/01/2023 21:00,16.8732,-88.2975,19.9,37.43,14.82,22.41,0.314
EST_001,02/01/2023 22:00,16.8732,-88.2975,20.13,27.48,33.23,,0.363
EST_001,02/01/2023 23:00,16.8732,-88.2975,27.98,53.55,,19.78,
EST_001,03/01/2023 00:00,16.8732,-88.2975,15.84,29.0,47.12,16.75,0.46
EST_001,03/01/2023 01:00,16.8732,-88.2975,25.36,35.22,33.36,12.84,
EST_001,03/01/2023 02:00,16.8732,-88.2975,13.1,23.18,44.34,21.54,0.704
EST_001,03/01/2023 03:00,16.8732,-88.2975,21.44,37.95,,18.5,0.714
EST_001,03/01/2023 04:00,16.8732,-88.2975,26.0,61.18,70.57,24.43,0.652
EST_001,03/01/2023 05:00,16.8732,-88.2975,30.53,62.11,62.62,21.96,0.693
EST_001,03/01/2023 06:00,16.8732,-88.2975,33.75,60.84,57.88,22.5,0.787
EST_001,03/01/2023 07:00,16.8732,-88.2975,36.75,68.14,64.31,31.24,0.9
EST_001,03/01/2023 08:00,16.8732,-88.2975,33.46,60.58,36.25,32.75,1.11
EST_001,03/01/2023 09:00,16.8732,-88.2975,34.96,61.31,53.71,36.55,1.054
EST_001,03/01/2023 10:00,16.8732,-88.2975,43.16,,69.98,45.86,1.132
EST_001,03/01/2023 11:00,16.8732,-88.2975,38.91,68.84,46.5,37.11,1.207
EST_001,03/01/2023 12:00,16.8732,-88.2975,33.84,54.94,40.68,38.43,0.983
EST_001,03/01/2023 13:00,16.8732,-88.2975,34.21,51.58,40.3,30.34,1.165
EST_001,03/01/2023 14:00,16.8732,-88.2975,34.29,65.8,38.96,28.49,1.03
EST_001,03/01/2023 15:00,16.8732,-88.2975,39.78,74.74,5.88,41.57,0.761
EST_001,03/01/2023 16:00,16.8732,-88.2975,35.94,50.4,5.86,27.38,0.737
EST_001,03/01/2023 17:00,16.8732,-88.2975,36.27,64.31,22.78,24.85,
EST_001,03/01/2023 18:00,16.8732,-88.2975,28.1,58.55,12.85,,0.853
EST_001,03/01/2023 19:00,16.8732,-88.2975,28.44,59.67,33.8,25.48,0.734
EST_001,03/01/2023 20:00,16.8732,-88.2975,28.37,59.28,19.53,19.49,0.668
EST_001,03/01/2023 21:00,16.8732,-88.2975,21.63,39.24,6.51,20.82,0.783
EST_001,03/01/2023 22:00,16.8732,-88.2975,23.87,36.21,,27.22,0.413
EST_001,03/01/2023 23:00,16.8732,-88.2975,17.29,22.44,7.33,16.24,0.507
EST_001,04/01/2023 00:00,16.8732,-88.2975,18.44,35.95,37.66,13.03,
EST_001,04/01/2023 01:00,16.8732,-88.2975,18.69,36.68,43.29,24.99,0.437
EST_001,04/01/2023 02:00,16.8732,-88.2975,15.63,38.43,45.76,,0.543
EST_001,04/01/2023 03:00,16.8732,-88.2975,25.63,54.94,64.93,19.24,0.428
EST_001,04/01/2023 04:00,16.8732,-88.2975,22.93,40.21,69.31,16.09,0.791
EST_001,04/01/2023 05:00,16.8732,-88.2975,27.75,40.0,57.61,22.21,0.654
EST_001,04/01/2023 06:00,16.8732,-88.2975,32.68,56.28,38.65,27.73,1.003
EST_001,04/01/2023 07:00,16.8732,-88.2975,35.1,64.93,65.49,35.9,0.874
EST_001,04/01/2023 08:00,16.8732,-88.2975,38.61,67.89,62.87,26.82,1.053
EST_001,04/01/2023 09:00,16.8732,-88.2975,36.87,61.74,57.24,33.23,1.007
EST_001,04/01/2023 10:00,16.8732,-88.2975,36.84,68.33,,38.3,1.057
EST_001,04/01/2023 11:00,16.8732,-88.2975,39.56,67.17,33.53,23.82,1.031
EST_001,04/01/2023 12:00,16.8732,-88.2975,31.86,52.33,60.09,41.17,1.112
EST_001,04/01/2023 13:00,16.8732,-88.2975,32.73,,25.23,29.82,1.122
EST_001,04/01/2023 14:00,16.8732,-88.2975,32.35,55.02,37.49,36.59,0.981
EST_001,04/01/2023 15:00,16.8732,-88.2975,32.4,60.27,8.98,34.89,1.0
EST_001,04/01/2023 16:00,16.8732,-88.2975,37.31,69.35,13.38,37.42,0.889
EST_001,04/01/2023 17:00,16.8732,-88.2975,28.38,41.97,35.85,,1.108
EST_001,04/01/2023 18:00,16.8732,-88.2975,28.43,47.33,17.39,16.11,0.791
EST_001,04/01/2023 19:00,16.8732,-88.2975,34.23,73.12,29.08,22.01,0.877
EST_001,04/01/2023 20:00,16.8732,-88.2975,23.55,33.09,,24.69,0.63
EST_001,04/01/2023 21:00,16.8732,-88.2975,26.95,31.58,24.81,21.37,0.614
EST_001,04/01/2023 22:00,16.8732,-88.2975,17.01,15.72,43.64,23.46,0.408
EST_001,04/01/2023 23:00,16.8732,-88.2975,19.65,35.61,32.46,24.22,0.466
EST_001,05/01/2023 00:00,16.8732,-88.2975,15.59,28.32,22.19,23.04,0.521
EST_001,05/01/2023 01:00,16.8732,-88.2975,,33.25,37.14,19.2,0.669
