time_stamp;pm2_5_atm
28/10/2020;9.60
28/10/2020;9.20
28/10/2020;6.00
28/10/2020;172.00
28/10/2020;62.70
29/10/2020;22.50
6/11/2020;4.10
6/11/2020;4.60
6/11/2020;248.10
6/11/2020;47.30
7/11/2020;12.10
22/02/2021;11.80
22/02/2021;5.90
22/02/2021;4.40
22/02/2021;4.20
22/02/2021;3.70
22/02/2021;3.60
22/02/2021;3.80
22/02/2021;5.20
23/02/2021;8.50
23/02/2021;9.00
23/02/2021;12.40
23/02/2021;16.30
23/02/2021;89.30
23/02/2021;32.60
23/02/2021;19.20
23/02/2021;12.10
23/02/2021;8.10
23/02/2021;9.60
23/02/2021;8.70
23/02/2021;7.20
23/02/2021;8.10
23/02/2021;11.60
23/02/2021;10.40
23/02/2021;18.20
23/02/2021;11.60
23/02/2021;13.80
23/02/2021;10.80
23/02/2021;8.80
23/02/2021;7.80
23/02/2021;8.60
23/02/2021;8.30
23/02/2021;9.00
24/02/2021;17.10
24/02/2021;38.40
24/02/2021;30.40
24/02/2021;18.70
24/02/2021;16.80
24/02/2021;15.90
24/02/2021;12.70
24/02/2021;11.50
24/02/2021;11.60
24/02/2021;10.40
24/02/2021;11.60
24/02/2021;15.10
24/02/2021;16.60
24/02/2021;22.60
24/02/2021;14.30
24/02/2021;9.30
24/02/2021;4.80
24/02/2021;4.70
24/02/2021;4.50
24/02/2021;3.80
24/02/2021;3.30
24/02/2021;3.90
24/02/2021;4.80
24/02/2021;9.30
25/02/2021;10.80
25/02/2021;11.40
25/02/2021;10.70
25/02/2021;10.80
25/02/2021;10.50
25/02/2021;13.20
25/02/2021;10.80
25/02/2021;14.30
25/02/2021;14.20
25/02/2021;14.50
25/02/2021;13.70
25/02/2021;16.60
25/02/2021;24.30
25/02/2021;40.00
25/02/2021;15.20
25/02/2021;11.20
25/02/2021;7.40
25/02/2021;6.00
25/02/2021;5.20
25/02/2021;5.00
25/02/2021;3.70
25/02/2021;4.30
25/02/2021;5.30
25/02/2021;5.20
26/02/2021;9.70
26/02/2021;16.30
26/02/2021;17.60
26/02/2021;19.70
26/02/2021;25.20
26/02/2021;26.70
26/02/2021;25.70
26/02/2021;20.30
26/02/2021;19.40
26/02/2021;16.90
26/02/2021;11.50
26/02/2021;11.00
26/02/2021;20.60
26/02/2021;23.60
26/02/2021;13.70
26/02/2021;8.60
26/02/2021;6.10
26/02/2021;3.90
26/02/2021;4.10
26/02/2021;7.00
26/02/2021;6.40
26/02/2021;7.40
26/02/2021;9.30
26/02/2021;18.20
27/02/2021;8.30
27/02/2021;10.40
27/02/2021;19.20
27/02/2021;9.40
27/02/2021;11.50
27/02/2021;8.00
27/02/2021;7.10
27/02/2021;14.30
27/02/2021;6.00
27/02/2021;5.60
27/02/2021;7.80
27/02/2021;7.70
27/02/2021;7.50
27/02/2021;5.50
27/02/2021;4.80
27/02/2021;6.60
27/02/2021;7.00
27/02/2021;5.70
27/02/2021;6.80
27/02/2021;6.00
27/02/2021;6.10
27/02/2021;4.90
27/02/2021;6.30
27/02/2021;16.10
28/02/2021;11.80
28/02/2021;14.80
28/02/2021;15.00
28/02/2021;18.90
28/02/2021;12.20
28/02/2021;6.20
28/02/2021;4.70
28/02/2021;4.80
28/02/2021;5.40
28/02/2021;6.30
28/02/2021;7.50
28/02/2021;9.20
28/02/2021;10.10
28/02/2021;7.50
28/02/2021;8.30
28/02/2021;7.80
28/02/2021;10.60
28/02/2021;9.80
28/02/2021;9.50
28/02/2021;19.90
28/02/2021;12.00
28/02/2021;11.40
28/02/2021;7.10
28/02/2021;8.70
1/03/2021;13.20
1/03/2021;8.20
1/03/2021;7.10
1/03/2021;6.60
1/03/2021;5.80
1/03/2021;5.70
1/03/2021;6.60
1/03/2021;5.00
1/03/2021;6.80
1/03/2021;5.00
1/03/2021;4.50
1/03/2021;5.30
1/03/2021;8.20
1/03/2021;6.40
1/03/2021;4.80
1/03/2021;7.50
1/03/2021;5.50
1/03/2021;3.60
1/03/2021;3.60
1/03/2021;4.10
1/03/2021;3.80
1/03/2021;3.70
1/03/2021;4.80
1/03/2021;13.50
2/03/2021;8.40
2/03/2021;12.60
2/03/2021;14.70
2/03/2021;8.30
2/03/2021;5.30
2/03/2021;3.90
2/03/2021;3.90
2/03/2021;5.00
2/03/2021;5.40
2/03/2021;5.70
2/03/2021;6.50
2/03/2021;5.90
2/03/2021;16.20
2/03/2021;22.60
2/03/2021;8.30
2/03/2021;4.60
2/03/2021;5.50
2/03/2021;4.30
2/03/2021;5.20
2/03/2021;4.60
2/03/2021;3.90
2/03/2021;3.70
2/03/2021;4.60
2/03/2021;5.20
3/03/2021;5.10
3/03/2021;11.80
3/03/2021;7.80
3/03/2021;7.30
3/03/2021;5.10
3/03/2021;7.50
3/03/2021;9.30
3/03/2021;5.80
3/03/2021;6.10
3/03/2021;6.30
3/03/2021;12.30
3/03/2021;7.00
3/03/2021;13.10
3/03/2021;12.10
3/03/2021;7.30
3/03/2021;9.60
3/03/2021;9.10
3/03/2021;6.50
3/03/2021;6.10
3/03/2021;5.80
3/03/2021;8.20
3/03/2021;10.60
3/03/2021;11.70
3/03/2021;20.80
4/03/2021;19.60
4/03/2021;13.70
4/03/2021;13.50
4/03/2021;8.70
4/03/2021;7.90
4/03/2021;7.90
4/03/2021;12.90
4/03/2021;31.10
4/03/2021;30.30
4/03/2021;14.90
4/03/2021;13.40
4/03/2021;15.20
4/03/2021;17.30
4/03/2021;20.30
4/03/2021;14.60
4/03/2021;10.50
4/03/2021;7.20
4/03/2021;6.10
4/03/2021;6.10
4/03/2021;6.00
4/03/2021;6.30
4/03/2021;5.80
4/03/2021;7.60
4/03/2021;6.90
5/03/2021;19.20
5/03/2021;17.00
5/03/2021;14.50
5/03/2021;23.90
5/03/2021;26.80
5/03/2021;20.00
5/03/2021;13.40
5/03/2021;13.50
5/03/2021;11.80
5/03/2021;11.20
5/03/2021;12.00
5/03/2021;15.40
5/03/2021;20.30
5/03/2021;21.90
5/03/2021;22.20
5/03/2021;25.40
5/03/2021;8.10
5/03/2021;9.00
5/03/2021;5.50
5/03/2021;5.90
5/03/2021;4.60
5/03/2021;5.10
5/03/2021;5.30
5/03/2021;8.50
6/03/2021;8.80
6/03/2021;9.60
6/03/2021;14.60
6/03/2021;17.30
6/03/2021;7.00
6/03/2021;6.60
6/03/2021;6.70
6/03/2021;16.20
6/03/2021;15.70
6/03/2021;24.80
6/03/2021;17.50
6/03/2021;21.60
6/03/2021;22.40
6/03/2021;30.30
6/03/2021;20.90
6/03/2021;6.40
6/03/2021;8.10
6/03/2021;5.50
6/03/2021;56.20
6/03/2021;3.10
6/03/2021;10.50
6/03/2021;23.20
6/03/2021;6.50
6/03/2021;8.00
7/03/2021;12.10
7/03/2021;17.20
7/03/2021;12.10
7/03/2021;9.60
7/03/2021;11.30
7/03/2021;10.20
7/03/2021;12.80
7/03/2021;12.70
7/03/2021;12.60
7/03/2021;11.20
7/03/2021;12.10
7/03/2021;9.30
7/03/2021;11.90
7/03/2021;11.70
7/03/2021;10.50
7/03/2021;7.40
7/03/2021;6.00
7/03/2021;6.80
7/03/2021;7.00
7/03/2021;6.50
7/03/2021;6.20
7/03/2021;7.70
7/03/2021;11.90
7/03/2021;7.50
8/03/2021;11.50
8/03/2021;9.70
8/03/2021;5.60
8/03/2021;3.90
8/03/2021;4.50
8/03/2021;9.00
8/03/2021;8.10
8/03/2021;5.90
8/03/2021;7.00
8/03/2021;7.70
8/03/2021;7.60
8/03/2021;7.90
8/03/2021;9.50
8/03/2021;11.10
8/03/2021;12.70
8/03/2021;15.00
8/03/2021;12.40
8/03/2021;8.50
8/03/2021;5.20
8/03/2021;5.30
8/03/2021;6.30
8/03/2021;18.00
8/03/2021;19.20
8/03/2021;11.30
9/03/2021;42.70
9/03/2021;28.80
9/03/2021;25.20
9/03/2021;20.20
9/03/2021;24.00
9/03/2021;27.10
9/03/2021;11.30
9/03/2021;11.50
9/03/2021;11.70
9/03/2021;12.60
9/03/2021;12.70
9/03/2021;16.40
9/03/2021;17.60
9/03/2021;18.60
9/03/2021;12.60
9/03/2021;12.20
9/03/2021;11.30
9/03/2021;9.40
9/03/2021;9.20
9/03/2021;11.50
9/03/2021;15.90
9/03/2021;17.50
9/03/2021;38.00
9/03/2021;47.90
10/03/2021;21.70
10/03/2021;6.50
10/03/2021;10.40
10/03/2021;8.10
10/03/2021;6.50
10/03/2021;6.40
10/03/2021;6.90
10/03/2021;12.00
10/03/2021;7.70
10/03/2021;7.80
10/03/2021;7.30
10/03/2021;8.30
10/03/2021;9.40
10/03/2021;14.60
10/03/2021;24.40
10/03/2021;9.50
10/03/2021;6.10
10/03/2021;9.60
10/03/2021;9.50
10/03/2021;6.60
10/03/2021;8.30
10/03/2021;7.90
10/03/2021;5.50
10/03/2021;8.10
11/03/2021;14.30
11/03/2021;9.20
11/03/2021;6.10
11/03/2021;7.30
11/03/2021;7.70
11/03/2021;10.90
11/03/2021;6.80
11/03/2021;5.50
11/03/2021;5.80
11/03/2021;5.00
11/03/2021;6.30
11/03/2021;6.90
11/03/2021;13.90
11/03/2021;11.90
11/03/2021;4.40
11/03/2021;6.80
11/03/2021;6.30
11/03/2021;6.70
11/03/2021;9.80
11/03/2021;7.80
11/03/2021;9.00
11/03/2021;7.10
11/03/2021;6.80
11/03/2021;11.80
12/03/2021;21.80
12/03/2021;11.70
12/03/2021;14.80
12/03/2021;22.60
12/03/2021;7.40
12/03/2021;5.70
12/03/2021;7.80
12/03/2021;8.40
12/03/2021;10.30
12/03/2021;11.40
12/03/2021;6.50
12/03/2021;16.00
12/03/2021;20.60
12/03/2021;8.50
12/03/2021;5.80
12/03/2021;5.00
12/03/2021;4.20
12/03/2021;4.60
12/03/2021;7.10
12/03/2021;5.30
12/03/2021;5.50
12/03/2021;6.50
12/03/2021;8.30
12/03/2021;10.80
13/03/2021;16.60
13/03/2021;13.90
13/03/2021;9.70
13/03/2021;8.10
13/03/2021;9.30
13/03/2021;6.60
13/03/2021;6.40
13/03/2021;6.90
13/03/2021;9.60
13/03/2021;9.00
13/03/2021;9.80
13/03/2021;10.70
13/03/2021;17.50
13/03/2021;18.30
13/03/2021;11.20
13/03/2021;6.30
13/03/2021;6.90
13/03/2021;5.00
13/03/2021;5.20
13/03/2021;6.00
13/03/2021;6.20
13/03/2021;5.50
13/03/2021;3.60
13/03/2021;17.70
14/03/2021;10.90
14/03/2021;16.40
14/03/2021;7.50
14/03/2021;6.70
14/03/2021;7.80
14/03/2021;7.70
14/03/2021;7.10
14/03/2021;8.10
14/03/2021;11.10
14/03/2021;17.90
14/03/2021;12.90
14/03/2021;13.20
14/03/2021;17.70
14/03/2021;43.20
14/03/2021;10.70
14/03/2021;4.60
14/03/2021;3.90
14/03/2021;3.30
14/03/2021;3.30
14/03/2021;3.30
14/03/2021;2.90
14/03/2021;4.00
14/03/2021;4.00
14/03/2021;3.50
15/03/2021;5.60
15/03/2021;19.30
15/03/2021;4.90
15/03/2021;4.40
15/03/2021;4.50
15/03/2021;4.30
15/03/2021;3.50
15/03/2021;3.50
15/03/2021;4.10
15/03/2021;3.60
15/03/2021;4.30
15/03/2021;8.50
15/03/2021;8.80
15/03/2021;8.70
15/03/2021;3.70
15/03/2021;3.50
15/03/2021;3.90
15/03/2021;4.80
15/03/2021;4.70
15/03/2021;4.50
15/03/2021;4.40
15/03/2021;4.00
15/03/2021;6.90
15/03/2021;13.70
16/03/2021;14.00
16/03/2021;8.70
16/03/2021;8.20
16/03/2021;10.00
16/03/2021;7.30
16/03/2021;7.00
16/03/2021;6.40
16/03/2021;5.40
16/03/2021;5.00
16/03/2021;4.50
16/03/2021;4.20
16/03/2021;4.60
16/03/2021;18.20
16/03/2021;6.80
16/03/2021;4.60
16/03/2021;3.70
16/03/2021;3.80
16/03/2021;4.20
16/03/2021;3.00
16/03/2021;2.50
16/03/2021;2.00
16/03/2021;1.60
16/03/2021;3.70
16/03/2021;3.20
17/03/2021;7.10
17/03/2021;4.80
17/03/2021;4.40
17/03/2021;5.50
17/03/2021;5.00
17/03/2021;4.80
17/03/2021;4.80
17/03/2021;4.60
17/03/2021;4.70
17/03/2021;4.30
17/03/2021;4.20
17/03/2021;4.50
17/03/2021;12.90
17/03/2021;8.40
17/03/2021;6.90
17/03/2021;6.90
17/03/2021;5.40
17/03/2021;4.70
17/03/2021;5.70
17/03/2021;3.90
17/03/2021;3.70
17/03/2021;3.60
17/03/2021;3.60
17/03/2021;4.50
18/03/2021;8.90
18/03/2021;16.80
18/03/2021;15.20
18/03/2021;8.20
18/03/2021;7.00
18/03/2021;6.50
18/03/2021;6.30
18/03/2021;6.90
18/03/2021;8.00
18/03/2021;7.40
18/03/2021;8.90
18/03/2021;7.30
18/03/2021;22.90
18/03/2021;13.10
18/03/2021;10.00
18/03/2021;6.10
18/03/2021;6.00
18/03/2021;6.40
