time_stamp,pm2.5_atm
2021-03-29T19:00:00Z,3.5
2021-03-29T20:00:00Z,144
2021-03-29T21:00:00Z,109.2
2021-03-30T18:00:00Z,105.9
2021-03-30T19:00:00Z,82.5
2021-03-30T20:00:00Z,6.7
2021-09-09T17:00:00Z,8.6
2021-09-09T18:00:00Z,8.6
2021-09-09T19:00:00Z,8.2
2021-09-09T20:00:00Z,6.8
2021-09-09T21:00:00Z,7.1
2021-09-09T22:00:00Z,8.6
2021-09-09T23:00:00Z,8.1
2021-09-10T00:00:00Z,8.9
2021-09-10T01:00:00Z,10.5
2021-09-10T02:00:00Z,17.1
2021-09-10T03:00:00Z,18.3
2021-09-10T04:00:00Z,16.3
2021-09-10T05:00:00Z,12
2021-09-10T06:00:00Z,2.4
2021-09-10T07:00:00Z,2.7
2021-09-10T08:00:00Z,3.5
2021-09-10T09:00:00Z,1.8
2021-09-10T10:00:00Z,2.1
2021-09-10T11:00:00Z,8.1
2021-09-10T12:00:00Z,57.5
2021-09-10T13:00:00Z,59.5
2021-09-10T14:00:00Z,127.1
2021-09-10T15:00:00Z,34.5
2021-09-10T16:00:00Z,116.4
2021-09-10T17:00:00Z,10
2021-09-10T18:00:00Z,26.1
2021-09-10T19:00:00Z,57
2021-09-10T20:00:00Z,7
2021-09-10T21:00:00Z,13.3
2021-09-10T22:00:00Z,3.5
2021-09-10T23:00:00Z,20.2
2021-09-11T00:00:00Z,6.7
2021-09-11T01:00:00Z,3.2
2021-09-11T02:00:00Z,3.5
2021-09-11T03:00:00Z,2.6
2021-09-11T04:00:00Z,1.8
2021-09-11T05:00:00Z,1.8
2021-09-11T06:00:00Z,3.2
2021-09-11T07:00:00Z,3.5
2021-09-11T08:00:00Z,3.1
2021-09-11T09:00:00Z,3.8
2021-09-11T10:00:00Z,5.3
2021-09-11T11:00:00Z,52.6
2021-09-11T12:00:00Z,89.3
2021-09-11T13:00:00Z,7.9
2021-09-11T14:00:00Z,8
2021-09-11T15:00:00Z,1.8
2021-09-11T16:00:00Z,3.6
2021-09-11T17:00:00Z,2.8
2021-09-11T18:00:00Z,2.8
2021-09-11T19:00:00Z,3.2
2021-09-11T20:00:00Z,4.9
2021-09-11T21:00:00Z,6.8
2021-09-11T22:00:00Z,8.1
2021-09-11T23:00:00Z,8.3
2021-09-12T00:00:00Z,8.7
2021-09-12T01:00:00Z,9.3
2021-09-12T02:00:00Z,8.5
2021-09-12T03:00:00Z,8.1
2021-09-12T04:00:00Z,8.5
2021-09-12T05:00:00Z,9.7
2021-09-12T06:00:00Z,7.9
2021-09-12T07:00:00Z,5
2021-09-12T09:00:00Z,8.9
2021-09-12T10:00:00Z,9.4
2021-09-12T11:00:00Z,10.4
2021-09-12T12:00:00Z,24.4
2021-09-12T13:00:00Z,25.8
2021-09-12T14:00:00Z,9.2
2021-09-12T15:00:00Z,11.9
2021-09-12T16:00:00Z,11.5
2021-09-12T17:00:00Z,9.7
2021-09-12T18:00:00Z,9.4
2021-09-12T19:00:00Z,9.6
2021-09-12T20:00:00Z,14.8
2021-09-12T21:00:00Z,9.7
2021-09-12T22:00:00Z,9.8
2021-09-12T23:00:00Z,9.7
2021-09-13T00:00:00Z,10.5
2021-09-13T01:00:00Z,10.6
2021-09-13T02:00:00Z,9.5
2021-09-13T03:00:00Z,8.8
2021-09-13T04:00:00Z,10.2
2021-09-13T05:00:00Z,12
2021-09-13T06:00:00Z,12.2
2021-09-13T07:00:00Z,11.3
2021-09-13T08:00:00Z,13
2021-09-13T09:00:00Z,12.8
2021-09-13T10:00:00Z,12.6
2021-09-13T11:00:00Z,15
2021-09-13T12:00:00Z,15.7
2021-09-13T13:00:00Z,30.5
2021-09-13T14:00:00Z,12.7
2021-09-15T18:00:00Z,15.6
2021-09-15T19:00:00Z,13.9
2021-09-15T20:00:00Z,11.4
2021-09-15T21:00:00Z,5.3
2021-09-15T22:00:00Z,11
2021-09-15T23:00:00Z,7.7
2021-09-16T00:00:00Z,10.7
2021-09-16T01:00:00Z,8
2021-09-16T02:00:00Z,5.1
2021-09-16T03:00:00Z,4.9
2021-09-16T04:00:00Z,5.5
2021-09-16T05:00:00Z,6.2
2021-09-16T06:00:00Z,4.6
2021-09-16T07:00:00Z,6.8
2021-09-16T08:00:00Z,3.5
2021-09-16T09:00:00Z,6.6
2021-09-16T10:00:00Z,8.4
2021-09-16T11:00:00Z,17.8
2021-09-16T12:00:00Z,145.1
2021-09-16T13:00:00Z,56.6
2021-09-16T14:00:00Z,12.9
2021-09-16T15:00:00Z,27.3
2021-09-16T16:00:00Z,18.2
2021-09-16T17:00:00Z,18.9
2021-09-16T19:00:00Z,16.2
2021-09-16T20:00:00Z,4.8
2021-09-16T21:00:00Z,5
2021-09-16T22:00:00Z,5.5
2021-09-16T23:00:00Z,5.9
2021-09-17T00:00:00Z,7.2
2021-09-17T01:00:00Z,6.1
2021-09-17T02:00:00Z,5.1
2021-09-17T03:00:00Z,5
2021-09-17T04:00:00Z,5
2021-09-17T05:00:00Z,4.5
2021-09-17T06:00:00Z,4.7
2021-09-17T07:00:00Z,4.6
2021-09-17T08:00:00Z,5
2021-09-17T09:00:00Z,5.8
2021-09-17T10:00:00Z,5.5
2021-09-17T11:00:00Z,9.1
2021-09-17T12:00:00Z,124.6
2021-09-17T13:00:00Z,75.3
2021-09-17T14:00:00Z,95.1
2021-09-17T15:00:00Z,47.2
2021-09-17T16:00:00Z,5
2021-09-17T17:00:00Z,21.9
2021-09-17T18:00:00Z,5.9
2021-09-17T19:00:00Z,63.7
2021-09-17T20:00:00Z,7.4
2021-09-17T21:00:00Z,14.3
2021-09-17T22:00:00Z,4.6
2021-09-17T23:00:00Z,7.4
2021-09-18T00:00:00Z,7.3
2021-09-18T01:00:00Z,5.8
2021-09-18T02:00:00Z,6.7
2021-09-18T03:00:00Z,11.3
2021-09-18T04:00:00Z,5.4
2021-09-18T05:00:00Z,5.6
2021-09-18T06:00:00Z,4.9
2021-09-18T07:00:00Z,3.2
2021-09-18T08:00:00Z,3.5
2021-09-18T09:00:00Z,3.9
2021-09-18T10:00:00Z,4.7
2021-09-18T11:00:00Z,6.7
2021-09-18T12:00:00Z,17.8
2021-09-18T13:00:00Z,14.4
2021-09-18T14:00:00Z,4.9
2021-09-18T15:00:00Z,9.9
2021-09-18T16:00:00Z,7.1
2021-09-18T17:00:00Z,3.9
2021-09-18T18:00:00Z,4.4
2021-09-18T19:00:00Z,4.5
2021-09-18T20:00:00Z,5.6
2021-09-18T21:00:00Z,8.2
2021-09-18T22:00:00Z,8.9
2021-09-18T23:00:00Z,7.6
2021-09-19T00:00:00Z,6.9
2021-09-19T01:00:00Z,8.5
2021-09-19T02:00:00Z,7.3
2021-09-19T03:00:00Z,10.4
2021-09-19T04:00:00Z,13.5
2021-09-19T05:00:00Z,11.3
2021-09-19T06:00:00Z,10
2021-09-19T07:00:00Z,9.4
2021-09-19T08:00:00Z,10
2021-09-19T09:00:00Z,10.7
2021-09-19T10:00:00Z,13.3
2021-09-19T11:00:00Z,17.3
2021-09-19T12:00:00Z,12.3
2021-09-19T13:00:00Z,11
2021-09-19T14:00:00Z,13.5
2021-09-19T15:00:00Z,11.1
2021-09-19T16:00:00Z,8.4
2021-09-19T17:00:00Z,8.4
2021-09-19T18:00:00Z,8.5
2021-09-19T19:00:00Z,11.5
2021-09-19T20:00:00Z,12.9
2021-09-19T21:00:00Z,15
2021-09-19T22:00:00Z,16.4
2021-09-19T23:00:00Z,15.3
2021-09-20T00:00:00Z,11
2021-09-20T01:00:00Z,11.1
2021-09-20T02:00:00Z,10.5
2021-09-20T03:00:00Z,9.6
2021-09-20T04:00:00Z,8.6
