time_stamp;pm2.5_atm
2022-11-16T04:00:00Z;29.3
2022-11-16T05:00:00Z;17.8
2022-11-16T06:00:00Z;14.5
2022-11-16T07:00:00Z;12.9
2022-11-16T08:00:00Z;10
2022-11-16T09:00:00Z;10.1
2022-11-16T10:00:00Z;12.9
2022-11-16T11:00:00Z;11.4
2022-11-16T12:00:00Z;19.7
2022-11-16T13:00:00Z;19.3
2022-11-16T14:00:00Z;28.1
2022-11-16T15:00:00Z;13.5
2022-11-16T16:00:00Z;11.4
2022-11-16T17:00:00Z;11.5
2022-11-16T18:00:00Z;11.1
2022-11-16T19:00:00Z;13.4
2022-11-16T20:00:00Z;21.8
2022-11-16T21:00:00Z;22.4
2022-11-16T22:00:00Z;23
2022-11-16T23:00:00Z;20.9
2022-11-17T00:00:00Z;20.4
2022-11-17T01:00:00Z;20.2
2022-11-17T02:00:00Z;28.1
2022-11-17T03:00:00Z;51.4
2022-11-17T04:00:00Z;31.6
2022-11-17T05:00:00Z;24.6
2022-11-17T06:00:00Z;18.6
2022-11-17T07:00:00Z;20.2
2022-11-17T08:00:00Z;20.5
2022-11-17T09:00:00Z;20.4
2022-11-17T10:00:00Z;19.5
2022-11-17T11:00:00Z;19.3
2022-11-17T12:00:00Z;34.4
2022-11-17T13:00:00Z;28.8
2022-11-17T14:00:00Z;20.3
2022-11-17T15:00:00Z;15.7
2022-11-17T16:00:00Z;16.1
2022-11-17T17:00:00Z;15.1
2022-11-17T18:00:00Z;10.6
2022-11-17T19:00:00Z;12.8
2022-11-17T20:00:00Z;17.3
2022-11-17T21:00:00Z;19.4
2022-11-17T22:00:00Z;12.4
2022-11-17T23:00:00Z;13.5
2022-11-18T00:00:00Z;21.2
2022-11-18T01:00:00Z;22.7
2022-11-18T02:00:00Z;18.2
2022-11-18T03:00:00Z;21.7
2022-11-18T04:00:00Z;14.7
2022-11-18T05:00:00Z;18.5
2022-11-18T06:00:00Z;9.3
2022-11-18T07:00:00Z;9.1
2022-11-18T08:00:00Z;9
2022-11-18T09:00:00Z;11
2022-11-18T10:00:00Z;11.4
2022-11-18T11:00:00Z;12.8
2022-11-18T12:00:00Z;17.7
2022-11-18T13:00:00Z;15.4
2022-11-18T14:00:00Z;10.8
2022-11-18T15:00:00Z;14.7
2022-11-18T16:00:00Z;12.7
2022-11-18T17:00:00Z;20
2022-11-18T18:00:00Z;15.5
2022-11-18T19:00:00Z;13.4
2022-11-18T20:00:00Z;14.6
2022-11-18T21:00:00Z;18.3
2022-11-18T22:00:00Z;18.8
2022-11-18T23:00:00Z;31.5
2022-11-19T00:00:00Z;28.4
2022-11-19T01:00:00Z;31.8
2022-11-19T02:00:00Z;18.6
2022-11-19T03:00:00Z;5.5
2022-11-19T04:00:00Z;13.3
2022-11-19T05:00:00Z;7.5
2022-11-19T06:00:00Z;7.3
2022-11-19T07:00:00Z;5.5
2022-11-19T08:00:00Z;6.7
2022-11-19T09:00:00Z;14.4
2022-11-19T10:00:00Z;7.5
2022-11-19T11:00:00Z;7.3
2022-11-19T12:00:00Z;13.2
2022-11-19T13:00:00Z;15.3
2022-11-19T14:00:00Z;20.1
2022-11-19T15:00:00Z;21
2022-11-19T16:00:00Z;5.9
2022-11-19T17:00:00Z;3.7
2022-11-19T18:00:00Z;3.4
2022-11-19T19:00:00Z;3.7
2022-11-19T20:00:00Z;4.1
2022-11-19T21:00:00Z;4.7
2022-11-19T22:00:00Z;21.1
2022-11-19T23:00:00Z;8.8
2022-11-20T00:00:00Z;5.9
2022-11-20T01:00:00Z;6.6
2022-11-20T02:00:00Z;7.6
2022-11-20T03:00:00Z;8.3
2022-11-20T04:00:00Z;16.3
2022-11-20T05:00:00Z;11.8
2022-11-20T06:00:00Z;7.8
2022-11-20T07:00:00Z;10.4
2022-11-20T08:00:00Z;7
2022-11-20T09:00:00Z;5.4
2022-11-20T10:00:00Z;7.9
2022-11-20T11:00:00Z;6.6
2022-11-20T12:00:00Z;7.5
2022-11-20T13:00:00Z;9.7
2022-11-20T14:00:00Z;9.5
2022-11-20T15:00:00Z;9.4
2022-11-20T16:00:00Z;13
2022-11-20T17:00:00Z;10.4
2022-11-20T18:00:00Z;9.9
2022-11-20T19:00:00Z;5.8
2022-11-20T20:00:00Z;4.6
2022-11-20T21:00:00Z;6.1
2022-11-20T22:00:00Z;8.5
2022-11-20T23:00:00Z;18.7
2022-11-21T00:00:00Z;15.9
2022-11-21T01:00:00Z;18
2022-11-21T02:00:00Z;9.2
2022-11-21T03:00:00Z;5.9
2022-11-21T04:00:00Z;14.5
2022-11-21T05:00:00Z;12.6
2022-11-21T06:00:00Z;4.4
2022-11-21T07:00:00Z;4.6
2022-11-21T08:00:00Z;3.3
2022-11-21T09:00:00Z;2.8
2022-11-21T10:00:00Z;4.7
2022-11-21T11:00:00Z;7.7
2022-11-21T12:00:00Z;8.7
2022-11-21T13:00:00Z;28.9
2022-11-21T14:00:00Z;16.5
2022-11-21T15:00:00Z;20.7
2022-11-21T16:00:00Z;22.3
2022-11-21T17:00:00Z;10.3
2022-11-21T18:00:00Z;6.7
2022-11-21T19:00:00Z;6.2
2022-11-21T20:00:00Z;3.8
2022-11-21T21:00:00Z;5.1
2022-11-21T22:00:00Z;4.9
2022-11-21T23:00:00Z;4.8
2022-11-22T00:00:00Z;5.6
2022-11-22T01:00:00Z;7.1
2022-11-22T02:00:00Z;29.9
2022-11-22T03:00:00Z;22.5
2022-11-22T04:00:00Z;9.6
2022-11-22T05:00:00Z;5.7
2022-11-22T06:00:00Z;4.8
2022-11-22T07:00:00Z;4.6
2022-11-22T08:00:00Z;5.2
2022-11-22T09:00:00Z;4.6
2022-11-22T10:00:00Z;4.8
2022-11-22T11:00:00Z;8.2
2022-11-22T12:00:00Z;12.2
2022-11-22T13:00:00Z;10
2022-11-22T14:00:00Z;9.3
2022-11-22T15:00:00Z;19.7
2022-11-22T16:00:00Z;31.7
2022-11-22T17:00:00Z;21.6
2022-11-22T18:00:00Z;12.9
2022-11-22T19:00:00Z;16
2022-11-22T20:00:00Z;11.6
2022-11-22T21:00:00Z;11.5
2022-11-22T22:00:00Z;8.2
2022-11-22T23:00:00Z;6.6
2022-11-23T00:00:00Z;7.5
2022-11-23T01:00:00Z;85.7
2022-11-23T02:00:00Z;116
2022-11-23T03:00:00Z;76.1
2022-11-23T04:00:00Z;51
2022-11-23T05:00:00Z;41
2022-11-23T06:00:00Z;31.4
2022-11-23T07:00:00Z;22.9
2022-11-23T08:00:00Z;15.3
2022-11-23T09:00:00Z;11
2022-11-23T10:00:00Z;9.9
2022-11-23T11:00:00Z;8.9
2022-11-23T12:00:00Z;10.1
2022-11-23T13:00:00Z;14.3
2022-11-23T14:00:00Z;29.1
