time_stamp;pm2.5_atm
7/03/2022;0.20
7/03/2022;0.10
7/03/2022;0.10
7/03/2022;0.10
7/03/2022;0.10
7/03/2022;0.10
7/03/2022;0.20
7/03/2022;0.00
7/03/2022;0.00
7/03/2022;0.00
7/03/2022;0.00
7/03/2022;0.00
7/03/2022;0.00
7/03/2022;0.00
7/03/2022;0.00
8/03/2022;0.10
8/03/2022;0.30
8/03/2022;0.60
8/03/2022;0.70
8/03/2022;1.00
8/03/2022;1.40
8/03/2022;1.60
8/03/2022;1.50
8/03/2022;1.40
9/03/2022;0.10
9/03/2022;0.10
9/03/2022;0.10
9/03/2022;0.00
9/03/2022;0.10
10/03/2022;0.10
10/03/2022;0.10
10/03/2022;0.20
10/03/2022;0.20
10/03/2022;0.20
10/03/2022;0.10
10/03/2022;0.10
10/03/2022;0.10
10/03/2022;0.10
10/03/2022;0.00
10/03/2022;0.10
10/03/2022;0.00
10/03/2022;0.00
10/03/2022;0.00
10/03/2022;0.00
10/03/2022;0.00
10/03/2022;0.00
10/03/2022;1.40
10/03/2022;0.00
10/03/2022;0.00
10/03/2022;0.10
10/03/2022;0.10
10/03/2022;0.00
10/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
11/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.40
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.10
12/03/2022;0.00
12/03/2022;0.00
12/03/2022;0.30
12/03/2022;3.80
12/03/2022;3.70
12/03/2022;2.30
12/03/2022;4.30
12/03/2022;4.40
12/03/2022;3.50
12/03/2022;2.80
12/03/2022;2.10
13/03/2022;1.20
13/03/2022;0.50
13/03/2022;0.30
13/03/2022;0.20
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.20
13/03/2022;0.20
13/03/2022;0.20
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.10
13/03/2022;0.00
13/03/2022;0.20
13/03/2022;1.80
14/03/2022;6.30
14/03/2022;4.30
14/03/2022;5.90
14/03/2022;4.60
14/03/2022;4.80
14/03/2022;4.80
14/03/2022;6.30
14/03/2022;21.40
14/03/2022;28.00
14/03/2022;17.40
14/03/2022;4.70
14/03/2022;3.50
14/03/2022;2.80
14/03/2022;3.60
14/03/2022;4.20
14/03/2022;4.90
14/03/2022;4.50
14/03/2022;3.10
14/03/2022;3.90
14/03/2022;4.70
15/03/2022;4.30
15/03/2022;2.40
15/03/2022;1.80
15/03/2022;2.10
15/03/2022;2.40
15/03/2022;3.00
15/03/2022;3.20
15/03/2022;2.80
15/03/2022;1.70
15/03/2022;2.30
15/03/2022;4.20
15/03/2022;11.00
15/03/2022;5.30
15/03/2022;4.40
15/03/2022;4.30
15/03/2022;4.20
16/03/2022;4.50
16/03/2022;5.80
16/03/2022;4.90
16/03/2022;4.00
16/03/2022;4.50
16/03/2022;7.00
16/03/2022;18.30
16/03/2022;25.20
16/03/2022;28.90
16/03/2022;11.90
16/03/2022;5.50
16/03/2022;5.30
16/03/2022;3.70
16/03/2022;3.30
16/03/2022;3.20
16/03/2022;2.80
16/03/2022;2.40
16/03/2022;2.70
16/03/2022;3.40
16/03/2022;3.10
16/03/2022;3.20
16/03/2022;3.00
16/03/2022;2.10
16/03/2022;0.60
17/03/2022;0.20
17/03/2022;0.20
17/03/2022;2.90
17/03/2022;1.10
17/03/2022;0.70
17/03/2022;0.60
17/03/2022;0.40
17/03/2022;0.30
17/03/2022;0.10
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;3.60
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.00
17/03/2022;0.10
18/03/2022;0.10
18/03/2022;0.10
18/03/2022;0.20
18/03/2022;0.30
18/03/2022;0.80
18/03/2022;0.70
18/03/2022;0.90
18/03/2022;1.00
18/03/2022;1.10
18/03/2022;0.90
18/03/2022;0.50
18/03/2022;0.60
18/03/2022;0.20
18/03/2022;0.10
18/03/2022;0.10
18/03/2022;0.10
18/03/2022;0.10
18/03/2022;0.10
18/03/2022;5.70
18/03/2022;0.20
18/03/2022;0.20
18/03/2022;0.10
18/03/2022;0.20
18/03/2022;0.30
19/03/2022;0.30
19/03/2022;0.30
19/03/2022;0.20
19/03/2022;0.30
19/03/2022;0.30
19/03/2022;0.40
19/03/2022;0.40
19/03/2022;0.40
19/03/2022;0.60
19/03/2022;0.10
19/03/2022;0.10
19/03/2022;0.10
19/03/2022;0.10
19/03/2022;0.00
19/03/2022;0.10
19/03/2022;0.10
19/03/2022;0.10
19/03/2022;0.10
19/03/2022;0.10
22/03/2022;0.80
22/03/2022;0.50
22/03/2022;0.20
22/03/2022;0.50
22/03/2022;0.90
22/03/2022;0.90
22/03/2022;0.70
22/03/2022;0.80
23/03/2022;1.00
23/03/2022;0.50
23/03/2022;0.40
23/03/2022;0.20
23/03/2022;0.20
23/03/2022;0.00
24/03/2022;0.00
24/03/2022;0.00
24/03/2022;0.00
24/03/2022;0.00
24/03/2022;9.00
24/03/2022;2.10
24/03/2022;0.80
24/03/2022;2.10
24/03/2022;2.40
24/03/2022;2.00
25/03/2022;1.80
25/03/2022;1.30
25/03/2022;0.80
25/03/2022;0.50
25/03/2022;0.30
25/03/2022;0.60
25/03/2022;1.20
25/03/2022;0.80
25/03/2022;3.10
25/03/2022;0.10
25/03/2022;0.00
25/03/2022;0.10
25/03/2022;0.00
25/03/2022;0.00
25/03/2022;0.00
25/03/2022;0.00
25/03/2022;0.00
25/03/2022;0.00
25/03/2022;0.00
25/03/2022;0.10
25/03/2022;1.50
25/03/2022;4.10
25/03/2022;2.70
25/03/2022;1.10
26/03/2022;0.10
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.10
26/03/2022;0.50
26/03/2022;2.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.10
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.00
26/03/2022;0.10
26/03/2022;0.40
26/03/2022;0.80
26/03/2022;0.60
26/03/2022;0.00
26/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.90
27/03/2022;2.30
27/03/2022;1.60
27/03/2022;0.10
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.00
27/03/2022;0.10
27/03/2022;0.10
27/03/2022;0.10
28/03/2022;0.70
28/03/2022;3.80
28/03/2022;6.40
28/03/2022;5.20
28/03/2022;4.80
28/03/2022;3.80
28/03/2022;6.60
28/03/2022;11.40
28/03/2022;7.70
28/03/2022;4.50
28/03/2022;1.70
28/03/2022;0.30
28/03/2022;0.10
28/03/2022;0.10
28/03/2022;0.20
28/03/2022;0.40
28/03/2022;0.10
28/03/2022;0.10
28/03/2022;0.10
29/03/2022;4.00
29/03/2022;4.20
29/03/2022;2.90
29/03/2022;2.90
29/03/2022;0.20
29/03/2022;0.50
29/03/2022;0.90
29/03/2022;0.30
29/03/2022;0.20
29/03/2022;0.20
29/03/2022;0.20
30/03/2022;0.30
30/03/2022;0.20
30/03/2022;0.40
30/03/2022;0.60
30/03/2022;0.60
30/03/2022;0.70
30/03/2022;0.70
30/03/2022;1.00
30/03/2022;2.70
30/03/2022;3.10
30/03/2022;2.50
30/03/2022;1.80
30/03/2022;1.30
30/03/2022;1.10
30/03/2022;1.10
30/03/2022;0.90
30/03/2022;1.10
30/03/2022;1.00
30/03/2022;1.00
30/03/2022;1.40
30/03/2022;2.30
30/03/2022;1.60
30/03/2022;1.50
30/03/2022;1.70
31/03/2022;2.00
31/03/2022;1.50
31/03/2022;1.40
31/03/2022;1.00
31/03/2022;0.70
31/03/2022;0.80
31/03/2022;0.90
31/03/2022;0.90
31/03/2022;0.70
31/03/2022;0.70
31/03/2022;0.70
31/03/2022;0.60
31/03/2022;0.50
31/03/2022;0.50
31/03/2022;0.60
31/03/2022;0.70
31/03/2022;0.70
31/03/2022;0.60
31/03/2022;0.90
31/03/2022;1.10
31/03/2022;1.20
31/03/2022;1.10
31/03/2022;1.60
31/03/2022;1.50
1/04/2022;1.70
1/04/2022;1.70
1/04/2022;1.50
1/04/2022;1.20
1/04/2022;1.10
1/04/2022;1.40
1/04/2022;1.70
1/04/2022;1.60
1/04/2022;1.40
1/04/2022;1.00
1/04/2022;0.80
1/04/2022;0.60
1/04/2022;0.70
1/04/2022;0.70
1/04/2022;0.40
1/04/2022;0.40
1/04/2022;0.30
1/04/2022;0.30
1/04/2022;0.20
1/04/2022;0.10
1/04/2022;0.30
1/04/2022;0.30
1/04/2022;0.20
1/04/2022;0.30
2/04/2022;0.30
2/04/2022;0.30
2/04/2022;0.30
2/04/2022;0.30
2/04/2022;0.30
2/04/2022;0.30
2/04/2022;0.20
2/04/2022;0.20
2/04/2022;0.10
2/04/2022;0.10
2/04/2022;0.00
2/04/2022;0.00
2/04/2022;0.00
2/04/2022;0.00
2/04/2022;0.00
2/04/2022;0.00
2/04/2022;0.00
2/04/2022;0.10
2/04/2022;0.10
2/04/2022;0.10
2/04/2022;0.10
2/04/2022;0.10
2/04/2022;0.10
2/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.10
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.00
3/04/2022;0.10
3/04/2022;0.30
3/04/2022;0.30
3/04/2022;0.30
3/04/2022;0.20
3/04/2022;0.30
4/04/2022;0.40
4/04/2022;0.50
4/04/2022;0.60
4/04/2022;0.70
4/04/2022;0.50
4/04/2022;0.70
4/04/2022;0.60
4/04/2022;0.30
4/04/2022;0.10
6/04/2022;3.80
6/04/2022;3.90
6/04/2022;4.60
6/04/2022;5.30
6/04/2022;5.20
7/04/2022;4.70
7/04/2022;3.90
7/04/2022;2.70
7/04/2022;3.70
7/04/2022;4.10
7/04/2022;3.40
7/04/2022;3.50
7/04/2022;2.80
7/04/2022;2.20
7/04/2022;2.20
7/04/2022;1.90
7/04/2022;1.40
7/04/2022;1.40
7/04/2022;1.40
7/04/2022;1.30
7/04/2022;1.70
7/04/2022;1.80
7/04/2022;1.80
7/04/2022;2.40
7/04/2022;2.80
7/04/2022;2.10
7/04/2022;1.70
7/04/2022;1.80
7/04/2022;1.80
8/04/2022;1.80
8/04/2022;1.90
8/04/2022;1.70
8/04/2022;1.50
8/04/2022;5.40
8/04/2022;7.50
8/04/2022;7.30
8/04/2022;4.50
8/04/2022;2.80
8/04/2022;0.60
8/04/2022;0.40
8/04/2022;0.60
8/04/2022;0.00
8/04/2022;0.00
8/04/2022;0.10
